Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
the collision hulls are generated for loose and floating garment regions only,own_claim,collision hulls generated loose floating garment regions,collision hulls hulls generated generated loose loose floating floating garment garment regions,collision hulls generated hulls generated loose generated loose floating loose floating garment floating garment regions,0,0,,
The collision hulls of tight regions are small enough to be approximated by a single point,own_claim,collision hulls tight regions small approximated single point,collision hulls hulls tight tight regions regions small small approximated approximated single single point,collision hulls tight hulls tight regions tight regions small regions small approximated small approximated single approximated single point,0,0,,
the Gilbert-Johnson-Keerthi algorithm,own_claim,gilbert johnson keerthi algorithm,gilbert johnson johnson keerthi keerthi algorithm,gilbert johnson keerthi johnson keerthi algorithm,0,0,,
8,data,8,,,0,0,,
is ideally suited to this task,own_claim,ideally suited task,ideally suited suited task,ideally suited task,0,0,,
We used constrained dynamics,own_claim,constrained dynamics,constrained dynamics,,0,0,,
to handle the collision response,own_claim,handle collision response,handle collision collision response,handle collision response,0,0,,
22,data,22,,,0,0,,
the main challenge here is obtaining the highest possible realism,own_claim,main challenge obtaining highest possible realism,main challenge challenge obtaining obtaining highest highest possible possible realism,main challenge obtaining challenge obtaining highest obtaining highest possible highest possible realism,0,0,,
As recognized in earlier works,own_claim,recognized earlier works,recognized earlier earlier works,recognized earlier works,0,0,,
wrinkles can be efficiently animated with a geometric method,own_claim,wrinkles efficiently animated geometric method,wrinkles efficiently efficiently animated animated geometric geometric method,wrinkles efficiently animated efficiently animated geometric animated geometric method,0,0,can,
9,data,9,,,0,0,,
13,data,13,,,0,0,,
they are geometric in nature,background_claim,geometric nature,geometric nature,,0,0,,
"our wrinkling function is not hand-drawn, nor geometrically approximated",own_claim,wrinkling function hand drawn geometrically approximated,wrinkling function function hand hand drawn drawn geometrically geometrically approximated,wrinkling function hand function hand drawn hand drawn geometrically drawn geometrically approximated,0,1,,not
